TIME,ORIGIN,FROM,SEQUENCE,ASPATH,PREFIX,NEXT_HOP
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626319,12859 2914 174 8452 36992,2c0f:fc89:c::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626320,12859 2914 174 8452 36992,2c0f:fc89:d::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626321,12859 2914 174 8452 36992,2c0f:fc89:e::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626322,12859 2914 174 8452 36992,2c0f:fc89:f::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626323,12859 2914 174 8452 36992,2c0f:fc89:10::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626324,12859 2914 174 8452 36992,2c0f:fc89:11::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626325,12859 2914 174 8452 36992,2c0f:fc89:12::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626326,12859 2914 174 8452 36992,2c0f:fc89:13::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626327,12859 2914 174 8452 36992,2c0f:fc89:14::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626328,12859 2914 174 8452 36992,2c0f:fc89:15::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626329,12859 2914 174 8452 36992,2c0f:fc89:16::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626330,12859 2914 174 8452 36992,2c0f:fc89:17::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626331,12859 2914 174 8452 36992,2c0f:fc89:18::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626332,12859 2914 174 8452 36992,2c0f:fc89:19::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626333,12859 2914 174 8452 36992,2c0f:fc89:1a::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626334,12859 2914 174 8452 36992,2c0f:fc89:1b::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626335,12859 2914 174 8452 36992,2c0f:fc89:2b::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626336,12859 2914 174 8452 36992,2c0f:fc89:2c::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:03,IGP,80.249.208.34 AS1103,457017,1103 3257 174 8452 36992,197.120.0.0/14,80.249.208.34
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,457018,12859 2914 174 8452 36992,197.120.0.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457019,30132 3257 8452 36992,197.120.64.0/18,80.249.208.85
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457020,30132 3257 8452 36992,197.120.128.0/18,80.249.208.85
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457021,30132 3257 8452 36992,197.120.192.0/18,80.249.208.85
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,457022,12859 2914 174 8452 36992,197.121.0.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457023,30132 3257 8452 36992,197.121.64.0/18,80.249.208.85
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,457024,12859 2914 174 8452 36992,197.121.128.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,457025,12859 2914 174 8452 36992,197.121.192.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,457026,12859 2914 174 8452 36992,197.122.0.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.208.34 AS1103,457027,1103 3257 8452 36992,197.122.64.0/18,80.249.208.34
03/07/16 00:00:03,IGP,80.249.208.34 AS1103,457028,1103 3257 8452 36992,197.122.128.0/18,80.249.208.34
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457029,30132 1299 174 8452 36992,197.122.192.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457030,30132 1299 174 8452 36992,197.123.0.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457031,30132 1299 174 8452 36992,197.123.64.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457032,30132 1299 174 8452 36992,197.123.128.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.111 AS30132,457033,30132 1299 174 8452 36992,197.123.192.0/18,80.249.208.111
03/07/16 00:00:03,IGP,80.249.208.34 AS1103,457034,1103 3257 174 8452 36992,197.124.0.0/14,80.249.208.34
03/07/16 00:00:03,IGP,80.249.208.200 AS12859,457035,12859 2914 174 8452 36992,197.124.0.0/18,80.249.208.200
03/07/16 00:00:03,IGP,80.249.209.167 AS6453,457036,6453 174 8452 36992,197.124.64.0/18,80.249.209.167
